title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
お米の美味しい炊き方、そしてお米を食べることによるその効果。	大日本鉄倶楽部【あさき＆９６】	6	11	15	18	bemani		DC1bCGc_wj4NrAZhVOpvNg	DC1bCGc_wj4NrAZhVOpvNg	Olaz4t6yaQh0GpdVVU6V5g	cmfn05Lw4-KFxFtR_wy4CA	8TIunx8MWBH7ORKGMaNSjA
GAIA	猫叉L.E.D.Master+	6	12	15	18	bemani		mM3Ssuz9meK_0SRgvJ10rg	mM3Ssuz9meK_0SRgvJ10rg	kq7P-8Ps9aG1CSFkz874wg	wtYjh673-YmgFZMrVeHuMQ	dqo7ZaYS9e0lnPsUbPCeew
Synergy For Angels	TAG×U1-ASAMi	5	12	14	17	bemani		2yf0U8UJp9Mmi81HqLIYlg	2yf0U8UJp9Mmi81HqLIYlg	ra3DTw820eJmWvt77QMYJg	Ebrgics3ciMsG-MBrXZ1RA	a01yZeLc9Mla3kihCnEtEA
STULTI	MAX MAXIMIZER VS DJ TOTTO	6	13	16	18	bemani		3QgAKhBpB5il7jY3kxK8wQ	3QgAKhBpB5il7jY3kxK8wQ	IHnRi3izQnUk_Hmkr-vqyw	KDu_TBSmO27liazLDj8IOw	oMRfFc8WxPNcSbpj1C8YgA
晴天Bon Voyage	TOMOSUKE × seiya-murai feat. ALT	4	10	13	16	bemani		vAbc6Blf70vvjYJ5c0lhIA	vAbc6Blf70vvjYJ5c0lhIA	Y6hdhG0BWiUtGUv8Dxp4Lw	CbG6AJdE0aQd1-704qwe7A	HkYqaQCMQdmLqArTk5r4Zw
創世ノート	PON+wac	6	12	15	17	bemani		OCkywA0Oepd_67d1ZP3xow	OCkywA0Oepd_67d1ZP3xow	UsDnY34dm-vMYARG6LGAdQ	Ag_HUIf_2yBZwlCVyGz0rw	atJD6KL_8y24Z4S7ArvZGA
虹色の花	Akhuta y OJ	5	10	13	16	bemani		n6Lr71yf4H5Uw-xVPW4d5A	n6Lr71yf4H5Uw-xVPW4d5A	bJj2O5i92oR-9hdBog6ZiQ	AoKRr1ymBmpWvguzdHFVSA	_5OFgbCA7zqJHMG2Won_kg
ラキラキ	Mutsuhiko Izumi & S-C-U	5	11	14	17	bemani		xPaF9GWeoOwbVGTpkwNjnA	xPaF9GWeoOwbVGTpkwNjnA	8NmUUVstl4G0S5mrJfC_pA	7uE6O_c4qquuws_1b8rmFg	bLICgGDr9VUBQHbkAZeCfg
Invisible Bullets	brz1128	5	12	15	17	floor,toho		X3E2_Uwth2ivmW6ng2fWDQ	X3E2_Uwth2ivmW6ng2fWDQ	_NfEn5Z0GrUVxIdHVtIr1g	w0BbV4wupgGfRn0Rdk82NA	GEvO4SFqXq9KXZtKSwo5mQ
Venomous Firefly	かめりあ	6	13	16	18	floor,toho		qG5Z_LMAt6rzgAYQmUyPqA	qG5Z_LMAt6rzgAYQmUyPqA	fBfMtUP9HdhOxMWoSnXhEA	UlgKHT2hobXUID6s1nQ6IQ	yJPftauJ7b9YjeS9YZJ8Gg
